player_id,year,team,position,age
6e18ffbc-07cb-5a5d-aeaa-e09fd3339aa2,1930,Chile,Forward,27.0
794aa711-a7d9-5e48-a6f0-d649e21ed6bc,1958,Paraguay,Forward,23.0
21f5210d-72ed-5d97-aded-c3be95efca06,2002,Ecuador,Midfielder,34.0
31fc201d-b5ce-56ca-b626-c4f5cbaea4a9,1930,Paraguay,Midfielder,
c30e70de-be06-52ec-9cd2-a371be6443cd,1986,Mexico,Midfielder,28.0
e78bcd78-769c-5bc4-a733-160564824187,2010,Ghana,Goalkeeper,21.0
4c59a2a8-2d90-57ac-ba0e-66e805585b50,2014,Ghana,Midfielder,24.0
c413af2b-c109-57b4-b1e3-f487d3f725f8,1958,Paraguay,Forward,23.0
af46def5-ccd3-5925-91e3-a872c02fea51,2018,Argentina,Forward,30.0
af46def5-ccd3-5925-91e3-a872c02fea51,2014,Argentina,Forward,26.0
af46def5-ccd3-5925-91e3-a872c02fea51,2010,Argentina,Forward,22.0
914e999b-6b05-5552-861a-4c0fc01f9a6e,1974,Sweden,Midfielder,22.0
716c27c6-26e5-548f-9902-e4297dd6aff4,2014,Iran,Goalkeeper,34.0
b30ea944-e8f6-5ca7-8dc0-d4c80c1db486,2022,Qatar,Defender,23.0
28f42416-a4a8-51f8-9420-369caf1a7cdc,2006,Ghana,Defender,24.0
753f74c6-c30d-5526-9ec4-5387d19f315b,2010,South Korea,Forward,34.0
753f74c6-c30d-5526-9ec4-5387d19f315b,2002,South Korea,Forward,26.0
753f74c6-c30d-5526-9ec4-5387d19f315b,2006,South Korea,Forward,30.0
f5835a39-e6b8-5d1c-ae61-a4d645d491e8,2010,Ghana,Goalkeeper,22.0
49bd54d2-820e-5420-a7e6-2f0e2200c841,1974,Chile,Forward,26.0
248e2e27-c9ec-5cfc-bd90-97265f84c920,2022,Ghana,Defender,27.0
ceb4ab2d-f67e-5fe5-b20b-3d441682c9ad,1990,Austria,Defender,24.0
b486bb8a-aa18-57dc-b295-9ff677fad55c,2002,Argentina,Midfielder,23.0
b486bb8a-aa18-57dc-b295-9ff677fad55c,2006,Argentina,Midfielder,27.0
7f797f78-1726-5c17-ae27-de056954314c,1954,Scotland,Defender,28.0
0c5ae754-8b98-57d4-8e1e-529ee6583298,2006,Angola,Defender,22.0
0b4675b6-65da-50de-af98-eb186e809689,1990,Scotland,Defender,32.0
0b4675b6-65da-50de-af98-eb186e809689,1986,Scotland,Defender,28.0
8a36319d-a10b-570a-a991-a4db84176eb3,2010,Nigeria,Goalkeeper,27.0
82555b7d-39ba-5372-a6ce-c4ff77ce47b1,2006,Ivory Coast,Midfielder,25.0
5c961558-f213-5b5d-b3b5-3043ed4ab2ab,2018,Switzerland,Defender,23.0
5c961558-f213-5b5d-b3b5-3043ed4ab2ab,2022,Switzerland,Defender,27.0
c373d0d4-8afa-5f6b-a8e0-7e9c9202fd83,1954,Turkey,Defender,19.0
32f83e45-0a9f-5e94-a0b2-329784c57465,1978,Tunisia,Forward,29.0
b2162461-710f-5d87-a95f-231c7c04403d,2018,Russia,Goalkeeper,32.0
b2162461-710f-5d87-a95f-231c7c04403d,2014,Russia,Goalkeeper,28.0
6129a896-0f67-57a9-a935-ced13250558d,2002,Japan,Defender,32.0
6129a896-0f67-57a9-a935-ced13250558d,1998,Japan,Defender,28.0
ccf220ea-781a-56a7-8c36-54773e0c5c98,2006,Togo,Defender,26.0
457f6fc0-6593-534d-992a-cb46a83d4761,2014,Ivory Coast,Defender,22.0
b2754a39-20ff-5ebb-bc2b-03e784cbd13e,2018,Nigeria,Goalkeeper,32.0
1aded221-65a7-5b82-872b-3d5d71fb551d,2002,Nigeria,Forward,28.0
a18b646f-048d-5816-96ab-9603fa33c1bc,2006,Angola,Forward,29.0
d91f9e8e-5d47-5d8f-afab-59f4c40920dd,2002,Turkey,Defender,25.0
18317fc0-a252-5d7c-b2d9-34c3f0ccfc7d,2022,Netherlands,Defender,27.0
22765343-894e-5e88-88cc-b23180080cfd,2022,Saudi Arabia,Midfielder,32.0
0370a1fb-5c96-5cf7-98a3-278ff39c0022,2022,Saudi Arabia,Forward,27.0
10ada0b0-f8ac-5b72-aed2-a3023ca6c56b,2022,Saudi Arabia,Defender,25.0
d28a215e-4952-5f82-9248-899efb64bc3b,1994,Saudi Arabia,Defender,26.0
c539072f-cfe0-523c-a267-977e67c89658,1982,Kuwait,Forward,28.0
