year,team,position,avg_age_p_pos,avg_age
1962,Italy,Defender,26.666666666666668,25.227272727272727
1962,Italy,Forward,25.285714285714285,25.227272727272727
1962,Italy,Goalkeeper,27.0,25.227272727272727
1962,Italy,Midfielder,22.833333333333332,25.227272727272727
1962,Mexico,Defender,27.2,26.714285714285715
1962,Mexico,Forward,25.6,26.714285714285715
1962,Mexico,Goalkeeper,29.666666666666668,26.714285714285715
1962,Mexico,Midfielder,26.0,26.714285714285715
1962,Soviet Union,Defender,25.666666666666668,25.818181818181817
1962,Soviet Union,Forward,25.833333333333332,25.818181818181817
1962,Soviet Union,Goalkeeper,28.333333333333332,25.818181818181817
1962,Soviet Union,Midfielder,24.857142857142858,25.818181818181817
1962,Spain,Defender,28.22222222222222,28.09090909090909
1962,Spain,Forward,30.333333333333332,28.09090909090909
1962,Spain,Goalkeeper,26.0,28.09090909090909
1962,Spain,Midfielder,26.0,28.09090909090909
1962,Switzerland,Defender,29.75,28.772727272727273
1962,Switzerland,Forward,27.666666666666668,28.772727272727273
1962,Switzerland,Goalkeeper,30.0,28.772727272727273
1962,Switzerland,Midfielder,27.8,28.772727272727273
1962,Uruguay,Defender,25.625,25.09090909090909
1962,Uruguay,Forward,25.8,25.09090909090909
1962,Uruguay,Goalkeeper,27.5,25.09090909090909
1962,Uruguay,Midfielder,23.285714285714285,25.09090909090909
1962,West Germany,Defender,25.571428571428573,26.0
1962,West Germany,Forward,27.0,26.0
1962,West Germany,Goalkeeper,26.0,26.0
1962,West Germany,Midfielder,25.5,26.0
1962,Yugoslavia,Defender,26.285714285714285,25.818181818181817
1962,Yugoslavia,Forward,25.2,25.818181818181817
1962,Yugoslavia,Goalkeeper,27.333333333333332,25.818181818181817
1962,Yugoslavia,Midfielder,25.142857142857142,25.818181818181817
1966,Argentina,Defender,26.2,26.681818181818183
1966,Argentina,Forward,25.285714285714285,26.681818181818183
1966,Argentina,Goalkeeper,28.0,26.681818181818183
1966,Argentina,Midfielder,27.857142857142858,26.681818181818183
1966,Brazil,Defender,28.5,26.681818181818183
1966,Brazil,Forward,24.5,26.681818181818183
1966,Brazil,Goalkeeper,32.5,26.681818181818183
1966,Brazil,Midfielder,24.5,26.681818181818183
1966,Bulgaria,Defender,25.285714285714285,26.772727272727273
1966,Bulgaria,Forward,28.6,26.772727272727273
1966,Bulgaria,Goalkeeper,28.0,26.772727272727273
1966,Bulgaria,Midfielder,26.428571428571427,26.772727272727273
1966,Chile,Defender,26.0,25.954545454545453
1966,Chile,Forward,24.0,25.954545454545453
1966,Chile,Goalkeeper,27.5,25.954545454545453
1966,Chile,Midfielder,26.75,25.954545454545453
1966,England,Defender,27.625,27.227272727272727
1966,England,Forward,26.5,27.227272727272727
1966,England,Goalkeeper,28.333333333333332,27.227272727272727
1966,England,Midfielder,26.714285714285715,27.227272727272727
1966,France,Defender,27.0,26.227272727272727
1966,France,Forward,25.666666666666668,26.227272727272727
1966,France,Goalkeeper,25.0,26.227272727272727
1966,France,Midfielder,26.4,26.227272727272727
1966,Hungary,Defender,27.857142857142858,26.5
1966,Hungary,Forward,25.428571428571427,26.5
1966,Hungary,Goalkeeper,25.666666666666668,26.5
1966,Hungary,Midfielder,26.6,26.5
1966,Italy,Defender,25.375,25.863636363636363
1966,Italy,Forward,25.0,25.863636363636363
1966,Italy,Goalkeeper,27.333333333333332,25.863636363636363
1966,Italy,Midfielder,26.125,25.863636363636363
1966,Mexico,Defender,26.5,25.636363636363637
1966,Mexico,Forward,23.833333333333332,25.636363636363637
1966,Mexico,Goalkeeper,28.333333333333332,25.636363636363637
1966,Mexico,Midfielder,25.285714285714285,25.636363636363637
1966,North Korea,Defender,23.714285714285715,22.863636363636363
1966,North Korea,Forward,22.833333333333332,22.863636363636363
1966,North Korea,Goalkeeper,22.5,22.863636363636363
1966,North Korea,Midfielder,22.142857142857142,22.863636363636363
1966,Portugal,Defender,28.666666666666668,27.5
1966,Portugal,Forward,25.6,27.5
1966,Portugal,Goalkeeper,32.333333333333336,27.5
1966,Portugal,Midfielder,26.0,27.5
1966,Soviet Union,Defender,26.22222222222222,26.227272727272727
1966,Soviet Union,Forward,22.5,26.227272727272727
1966,Soviet Union,Goalkeeper,30.333333333333332,26.227272727272727
1966,Soviet Union,Midfielder,26.666666666666668,26.227272727272727
1966,Spain,Defender,26.428571428571427,26.818181818181817
1966,Spain,Forward,29.0,26.818181818181817
1966,Spain,Goalkeeper,23.666666666666668,26.818181818181817
1966,Spain,Midfielder,27.0,26.818181818181817
1966,Switzerland,Defender,30.714285714285715,27.318181818181817
1966,Switzerland,Forward,23.8,27.318181818181817
1966,Switzerland,Goalkeeper,27.666666666666668,27.318181818181817
1966,Switzerland,Midfielder,26.285714285714285,27.318181818181817
1966,Uruguay,Defender,26.7,26.5
1966,Uruguay,Forward,26.25,26.5
1966,Uruguay,Goalkeeper,29.0,26.5
1966,Uruguay,Midfielder,24.8,26.5
1966,West Germany,Defender,24.555555555555557,25.59090909090909
1966,West Germany,Forward,26.142857142857142,25.59090909090909
1966,West Germany,Goalkeeper,26.666666666666668,25.59090909090909
1966,West Germany,Midfielder,26.333333333333332,25.59090909090909
1970,Belgium,Defender,25.4,26.272727272727273
1970,Belgium,Forward,26.333333333333332,26.272727272727273
1970,Belgium,Goalkeeper,27.0,26.272727272727273
1970,Belgium,Midfielder,26.5,26.272727272727273
1970,Brazil,Defender,25.125,25.045454545454547
1970,Brazil,Forward,25.25,25.045454545454547
1970,Brazil,Goalkeeper,26.0,25.045454545454547
1970,Brazil,Midfielder,24.428571428571427,25.045454545454547
1970,Bulgaria,Defender,27.625,26.40909090909091
1970,Bulgaria,Forward,25.333333333333332,26.40909090909091
1970,Bulgaria,Goalkeeper,24.333333333333332,26.40909090909091
1970,Bulgaria,Midfielder,27.0,26.40909090909091
1970,Czechoslovakia,Defender,26.285714285714285,25.59090909090909
1970,Czechoslovakia,Forward,25.5,25.59090909090909
1970,Czechoslovakia,Goalkeeper,26.666666666666668,25.59090909090909
1970,Czechoslovakia,Midfielder,24.333333333333332,25.59090909090909
1970,El Salvador,Defender,27.166666666666668,25.59090909090909
1970,El Salvador,Forward,24.833333333333332,25.59090909090909
1970,El Salvador,Goalkeeper,27.666666666666668,25.59090909090909
1970,El Salvador,Midfielder,24.0,25.59090909090909
1970,England,Defender,28.75,27.772727272727273
1970,England,Forward,26.0,27.772727272727273
1970,England,Goalkeeper,30.0,27.772727272727273
1970,England,Midfielder,26.833333333333332,27.772727272727273
1970,Israel,Defender,23.5,24.818181818181817
1970,Israel,Forward,24.666666666666668,24.818181818181817
1970,Israel,Goalkeeper,27.666666666666668,24.818181818181817
1970,Israel,Midfielder,24.857142857142858,24.818181818181817
1970,Italy,Defender,28.125,27.363636363636363
1970,Italy,Forward,26.0,27.363636363636363
