year,team,opponent_team,result,team_conf,opponent_conf
2022,South Korea,Brazil,Loss,AFC,CONMEBOL
1950,Sweden,Brazil,Loss,UEFA,CONMEBOL
1958,Soviet Union,Brazil,Loss,UEFA,CONMEBOL
2018,Colombia,Senegal,Win,CONMEBOL,CAF
1998,Saudi Arabia,South Africa,Draw,AFC,CAF
1986,France,Hungary,Win,UEFA,UEFA
2018,Denmark,Peru,Win,UEFA,CONMEBOL
2006,Italy,Czech Republic,Win,UEFA,UEFA
1970,Romania,Brazil,Loss,UEFA,CONMEBOL
2022,United States,Netherlands,Loss,CONCACAF,UEFA
1998,Jamaica,Argentina,Loss,CONCACAF,CONMEBOL
1958,Austria,England,Draw,UEFA,UEFA
1998,Japan,Argentina,Loss,AFC,CONMEBOL
1998,England,Colombia,Win,UEFA,CONMEBOL
2022,Costa Rica,Japan,Win,CONCACAF,AFC
2018,Portugal,Uruguay,Loss,UEFA,CONMEBOL
1982,Austria,Chile,Win,UEFA,CONMEBOL
2002,Poland,Portugal,Loss,UEFA,UEFA
2010,Slovakia,Netherlands,Loss,UEFA,UEFA
1982,Hungary,Belgium,Draw,UEFA,UEFA
1938,Czechoslovakia,Brazil,Draw,UEFA,CONMEBOL
2010,Germany,Ghana,Win,UEFA,CAF
1990,Sweden,Brazil,Loss,UEFA,CONMEBOL
2022,Canada,Croatia,Loss,CONCACAF,UEFA
2014,Greece,Japan,Draw,UEFA,AFC
1998,South Korea,Netherlands,Loss,AFC,UEFA
1958,Soviet Union,Sweden,Loss,UEFA,UEFA
1974,Sweden,Netherlands,Draw,UEFA,UEFA
2010,England,Slovenia,Win,UEFA,UEFA
1958,West Germany,Sweden,Loss,UEFA,UEFA
1970,El Salvador,Mexico,Loss,CONCACAF,CONCACAF
1962,England,Hungary,Loss,UEFA,UEFA
1978,West Germany,Austria,Loss,UEFA,UEFA
2002,Nigeria,Sweden,Loss,CAF,UEFA
2006,Angola,Mexico,Draw,CAF,CONCACAF
1954,Italy,Switzerland,Loss,UEFA,UEFA
1970,El Salvador,Belgium,Loss,CONCACAF,UEFA
1998,Norway,Italy,Loss,UEFA,UEFA
1998,Croatia,France,Loss,UEFA,UEFA
1958,Mexico,Hungary,Loss,CONCACAF,UEFA
2006,Costa Rica,Germany,Loss,CONCACAF,UEFA
2006,England,Sweden,Draw,UEFA,UEFA
2022,Costa Rica,Spain,Loss,CONCACAF,UEFA
2006,Mexico,Argentina,Loss,CONCACAF,CONMEBOL
2014,Mexico,Brazil,Draw,CONCACAF,CONMEBOL
2010,Nigeria,Greece,Loss,CAF,UEFA
1998,Tunisia,Romania,Draw,CAF,UEFA
1938,Germany,Switzerland,Draw,UEFA,UEFA
2022,Germany,Costa Rica,Win,UEFA,CONCACAF
1970,England,West Germany,Loss,UEFA,UEFA
1982,Cameroon,Peru,Draw,CAF,CONMEBOL
1974,Netherlands,Uruguay,Win,UEFA,CONMEBOL
2002,Republic of Ireland,Germany,Draw,UEFA,UEFA
2010,Cameroon,Japan,Loss,CAF,AFC
1954,Brazil,Hungary,Loss,CONMEBOL,UEFA
2002,Turkey,Costa Rica,Draw,UEFA,CONCACAF
2010,Greece,South Korea,Loss,UEFA,AFC
1962,Yugoslavia,Soviet Union,Loss,UEFA,UEFA
1970,Uruguay,Brazil,Loss,CONMEBOL,CONMEBOL
1950,United States,Spain,Loss,CONCACAF,UEFA
2022,Morocco,Croatia,Loss,CAF,UEFA
2014,Ecuador,Honduras,Win,CONMEBOL,CONCACAF
1998,Cameroon,Italy,Loss,CAF,UEFA
1930,Peru,Romania,Loss,CONMEBOL,UEFA
1974,Brazil,Zaire,Win,CONMEBOL,CAF
1934,Austria,Germany,Loss,UEFA,UEFA
2018,Australia,France,Loss,AFC,UEFA
2022,Serbia,Cameroon,Draw,UEFA,CAF
2002,United States,South Korea,Draw,CONCACAF,AFC
1986,Uruguay,Argentina,Loss,CONMEBOL,CONMEBOL
1954,Mexico,Brazil,Loss,CONCACAF,CONMEBOL
1962,Yugoslavia,Czechoslovakia,Loss,UEFA,UEFA
1974,Sweden,West Germany,Loss,UEFA,UEFA
1998,Nigeria,Spain,Win,CAF,UEFA
2002,England,Nigeria,Draw,UEFA,CAF
1954,Uruguay,Austria,Loss,CONMEBOL,UEFA
1994,Romania,Colombia,Win,UEFA,CONMEBOL
1950,Switzerland,Yugoslavia,Loss,UEFA,UEFA
1982,Austria,Algeria,Win,UEFA,CAF
2014,Netherlands,Australia,Win,UEFA,AFC
1966,Soviet Union,West Germany,Loss,UEFA,UEFA
1974,Yugoslavia,Scotland,Draw,UEFA,UEFA
1986,France,Brazil,Win,UEFA,CONMEBOL
2010,Serbia,Australia,Loss,UEFA,AFC
2022,Morocco,Canada,Win,CAF,CONCACAF
2018,Morocco,Spain,Draw,CAF,UEFA
2014,Colombia,Brazil,Loss,CONMEBOL,CONMEBOL
1990,Spain,Uruguay,Draw,UEFA,CONMEBOL
2002,Turkey,South Korea,Win,UEFA,AFC
2022,Mexico,Argentina,Loss,CONCACAF,CONMEBOL
2006,Tunisia,Spain,Loss,CAF,UEFA
2014,Portugal,Germany,Loss,UEFA,UEFA
1974,Australia,East Germany,Loss,AFC,UEFA
1966,Switzerland,Argentina,Loss,UEFA,CONMEBOL
1970,Belgium,Soviet Union,Loss,UEFA,UEFA
1962,Chile,Brazil,Loss,CONMEBOL,CONMEBOL
2002,Brazil,Costa Rica,Win,CONMEBOL,CONCACAF
1970,Bulgaria,West Germany,Loss,UEFA,UEFA
1978,Poland,West Germany,Draw,UEFA,UEFA
1978,Sweden,Austria,Loss,UEFA,UEFA
2002,Russia,Belgium,Loss,UEFA,UEFA
2014,Netherlands,Spain,Win,UEFA,UEFA
1970,Peru,Brazil,Loss,CONMEBOL,CONMEBOL
2006,Ecuador,Poland,Win,CONMEBOL,UEFA
1954,Hungary,West Germany,Loss,UEFA,UEFA
2022,France,England,Win,UEFA,UEFA
1982,Northern Ireland,Austria,Draw,UEFA,UEFA
1998,France,Italy,Win,UEFA,UEFA
1938,Norway,Italy,Loss,UEFA,UEFA
2006,Switzerland,France,Draw,UEFA,UEFA
1986,Poland,England,Loss,UEFA,UEFA
2010,New Zealand,Paraguay,Draw,OFC,CONMEBOL
2002,South Korea,Germany,Loss,AFC,UEFA
1974,East Germany,Argentina,Draw,UEFA,CONMEBOL
1982,Kuwait,Czechoslovakia,Draw,AFC,UEFA
2014,Bosnia and Herzegovina,Argentina,Loss,UEFA,CONMEBOL
1990,Romania,Argentina,Draw,UEFA,CONMEBOL
2002,Uruguay,France,Draw,CONMEBOL,UEFA
1938,Cuba,Sweden,Loss,CONCACAF,UEFA
2006,Ukraine,Italy,Loss,UEFA,UEFA
1966,Mexico,England,Loss,CONCACAF,UEFA
2018,Argentina,France,Loss,CONMEBOL,UEFA
1934,Spain,Italy,Loss,UEFA,UEFA
1986,West Germany,France,Win,UEFA,UEFA
2010,Netherlands,Cameroon,Win,UEFA,CAF
1990,South Korea,Belgium,Loss,AFC,UEFA
1994,Switzerland,Spain,Loss,UEFA,UEFA
1930,United States,Argentina,Loss,CONCACAF,CONMEBOL
1962,Hungary,Czechoslovakia,Loss,UEFA,UEFA
1994,Netherlands,Morocco,Win,UEFA,CAF
2002,Slovenia,South Africa,Loss,UEFA,CAF
1982,Scotland,Brazil,Loss,UEFA,CONMEBOL
2018,Russia,Uruguay,Loss,UEFA,CONMEBOL
1998,Denmark,Nigeria,Win,UEFA,CAF
2002,Belgium,Japan,Draw,UEFA,AFC
1962,Colombia,Yugoslavia,Loss,CONMEBOL,UEFA
2022,Poland,France,Loss,UEFA,UEFA
1994,Sweden,Romania,Win,UEFA,UEFA
1970,Czechoslovakia,England,Loss,UEFA,UEFA
2010,Switzerland,Spain,Win,UEFA,UEFA
1958,Hungary,Wales,Loss,UEFA,UEFA
2022,Ghana,Portugal,Loss,CAF,UEFA
2002,Slovenia,Spain,Loss,UEFA,UEFA
2010,Serbia,Germany,Win,UEFA,UEFA
1966,Soviet Union,Portugal,Loss,UEFA,UEFA
1994,Russia,Sweden,Loss,UEFA,UEFA
2010,Paraguay,Italy,Draw,CONMEBOL,UEFA
2002,Poland,South Korea,Loss,UEFA,AFC
1994,South Korea,Spain,Draw,AFC,UEFA
2022,Ecuador,Qatar,Win,CONMEBOL,AFC
1974,Haiti,Argentina,Loss,CONCACAF,CONMEBOL
2006,Italy,Germany,Win,UEFA,UEFA
2002,Turkey,Brazil,Loss,UEFA,CONMEBOL
1986,West Germany,Morocco,Win,UEFA,CAF
2018,Senegal,Poland,Win,CAF,UEFA
1950,United States,Chile,Loss,CONCACAF,CONMEBOL
1950,Spain,Brazil,Loss,UEFA,CONMEBOL
1954,Yugoslavia,Brazil,Draw,UEFA,CONMEBOL
2014,Croatia,Cameroon,Win,UEFA,CAF
2014,Netherlands,Brazil,Win,UEFA,CONMEBOL
1958,Northern Ireland,West Germany,Draw,UEFA,UEFA
2018,Serbia,Costa Rica,Win,UEFA,CONCACAF
2006,Poland,Costa Rica,Win,UEFA,CONCACAF
2006,Ukraine,Spain,Loss,UEFA,UEFA
1994,Norway,Italy,Loss,UEFA,UEFA
2010,Honduras,Spain,Loss,CONCACAF,UEFA
2010,Switzerland,Chile,Loss,UEFA,CONMEBOL
2022,Spain,Japan,Loss,UEFA,AFC
1998,Austria,Cameroon,Draw,UEFA,CAF
1958,England,Soviet Union,Loss,UEFA,UEFA
1986,Bulgaria,Argentina,Loss,UEFA,CONMEBOL
2002,United States,Mexico,Win,CONCACAF,CONCACAF
2006,Serbia and Montenegro,Ivory Coast,Loss,UEFA,CAF
2014,Germany,France,Win,UEFA,UEFA
1974,East Germany,Chile,Draw,UEFA,CONMEBOL
2006,Mexico,Portugal,Loss,CONCACAF,UEFA
2006,Iran,Mexico,Loss,AFC,CONCACAF
1962,Yugoslavia,Chile,Loss,UEFA,CONMEBOL
2018,Costa Rica,Brazil,Loss,CONCACAF,CONMEBOL
1950,Chile,England,Loss,CONMEBOL,UEFA
2014,Argentina,Netherlands,Win,CONMEBOL,UEFA
1970,Bulgaria,Peru,Loss,UEFA,CONMEBOL
1998,United States,Germany,Loss,CONCACAF,UEFA
1990,Netherlands,West Germany,Loss,UEFA,UEFA
2018,Belgium,England,Win,UEFA,UEFA
2010,Honduras,Switzerland,Draw,CONCACAF,UEFA
2002,Argentina,Sweden,Draw,CONMEBOL,UEFA
1978,Spain,Brazil,Draw,UEFA,CONMEBOL
2018,Croatia,Argentina,Win,UEFA,CONMEBOL
2018,Peru,France,Loss,CONMEBOL,UEFA
1974,Italy,Poland,Loss,UEFA,UEFA
2006,Togo,South Korea,Loss,CAF,AFC
1950,Mexico,Yugoslavia,Loss,CONCACAF,UEFA
1958,Austria,Brazil,Loss,UEFA,CONMEBOL
2018,Portugal,Iran,Draw,UEFA,AFC
1998,Iran,United States,Win,AFC,CONCACAF
1930,France,Chile,Loss,UEFA,CONMEBOL
2018,Brazil,Serbia,Win,CONMEBOL,UEFA
2022,Poland,Mexico,Draw,UEFA,CONCACAF
2010,Germany,Uruguay,Win,UEFA,CONMEBOL
2006,Costa Rica,Ecuador,Loss,CONCACAF,CONMEBOL
1974,Haiti,Italy,Loss,CONCACAF,UEFA
2002,Croatia,Italy,Win,UEFA,UEFA
2006,France,Togo,Win,UEFA,CAF
1966,Chile,Soviet Union,Loss,CONMEBOL,UEFA
1954,Belgium,Italy,Loss,UEFA,UEFA
2010,Mexico,France,Win,CONCACAF,UEFA
1978,Italy,Argentina,Win,UEFA,CONMEBOL
1986,Paraguay,England,Loss,CONMEBOL,UEFA
2014,Iran,Argentina,Loss,AFC,CONMEBOL
2006,United States,Ghana,Loss,CONCACAF,CAF
2014,Italy,England,Win,UEFA,UEFA
2010,Italy,Slovakia,Loss,UEFA,UEFA
2018,Denmark,Croatia,Loss,UEFA,UEFA
1990,Netherlands,Republic of Ireland,Draw,UEFA,UEFA
1986,Canada,Soviet Union,Loss,CONCACAF,UEFA
1962,West Germany,Yugoslavia,Loss,UEFA,UEFA
2006,Croatia,Japan,Draw,UEFA,AFC
1986,Scotland,West Germany,Loss,UEFA,UEFA
1982,Italy,Poland,Win,UEFA,UEFA
1982,Spain,West Germany,Loss,UEFA,UEFA
1962,Mexico,Brazil,Loss,CONCACAF,CONMEBOL
1966,Uruguay,West Germany,Loss,CONMEBOL,UEFA
2014,Portugal,United States,Draw,UEFA,CONCACAF
2014,England,Costa Rica,Draw,UEFA,CONCACAF
1986,Italy,Bulgaria,Draw,UEFA,UEFA
2010,North Korea,Portugal,Loss,AFC,UEFA
2002,Sweden,England,Draw,UEFA,UEFA
2018,Poland,Japan,Win,UEFA,AFC
2002,Cameroon,Republic of Ireland,Draw,CAF,UEFA
1994,Sweden,Saudi Arabia,Win,UEFA,AFC
2002,Paraguay,Slovenia,Win,CONMEBOL,UEFA
2006,Argentina,Germany,Loss,CONMEBOL,UEFA
1950,Italy,Sweden,Loss,UEFA,UEFA
2002,Portugal,United States,Loss,UEFA,CONCACAF
2018,Croatia,Iceland,Win,UEFA,UEFA
1982,Cameroon,Poland,Draw,CAF,UEFA
2010,Spain,Netherlands,Win,UEFA,UEFA
1986,Belgium,Argentina,Loss,UEFA,CONMEBOL
2014,South Korea,Russia,Draw,AFC,UEFA
2018,Iran,Morocco,Win,AFC,CAF
2018,Switzerland,Serbia,Win,UEFA,UEFA
2014,Chile,Netherlands,Loss,CONMEBOL,UEFA
2002,Senegal,Sweden,Win,CAF,UEFA
1990,Romania,Cameroon,Loss,UEFA,CAF
2002,Belgium,Brazil,Loss,UEFA,CONMEBOL
1962,Argentina,England,Loss,CONMEBOL,UEFA
2022,Denmark,Australia,Loss,UEFA,AFC
2018,Costa Rica,Switzerland,Draw,CONCACAF,UEFA
1930,France,Argentina,Loss,UEFA,CONMEBOL
1982,Soviet Union,Brazil,Loss,UEFA,CONMEBOL
1990,Spain,South Korea,Win,UEFA,AFC
1978,France,Argentina,Loss,UEFA,CONMEBOL
1958,Mexico,Sweden,Loss,CONCACAF,UEFA
2018,Croatia,France,Loss,UEFA,UEFA
2014,Ghana,Germany,Draw,CAF,UEFA
1982,El Salvador,Belgium,Loss,CONCACAF,UEFA
2018,Belgium,Brazil,Win,UEFA,CONMEBOL
2018,Argentina,Nigeria,Win,CONMEBOL,CAF
2022,Switzerland,Serbia,Win,UEFA,UEFA
1998,England,Romania,Loss,UEFA,UEFA
2006,Ghana,Brazil,Loss,CAF,CONMEBOL
1974,Poland,Haiti,Win,UEFA,CONCACAF
1954,France,Yugoslavia,Loss,UEFA,UEFA
1938,Germany,Switzerland,Loss,UEFA,UEFA
1994,Italy,Brazil,Loss,UEFA,CONMEBOL
1934,Belgium,Germany,Loss,UEFA,UEFA
1978,Iran,Netherlands,Loss,AFC,UEFA
2018,France,Denmark,Draw,UEFA,UEFA
1974,Uruguay,Bulgaria,Draw,CONMEBOL,UEFA
1994,Morocco,Belgium,Loss,CAF,UEFA
1934,United States,Italy,Loss,CONCACAF,UEFA
1994,South Korea,Germany,Loss,AFC,UEFA
1978,Mexico,Poland,Loss,CONCACAF,UEFA
1978,Hungary,France,Loss,UEFA,UEFA
1954,Uruguay,Hungary,Loss,CONMEBOL,UEFA
1986,Italy,South Korea,Win,UEFA,AFC
1986,England,Argentina,Loss,UEFA,CONMEBOL
2018,Panama,England,Loss,CONCACAF,UEFA
1990,Yugoslavia,Spain,Win,UEFA,UEFA
1958,West Germany,France,Loss,UEFA,UEFA
1974,West Germany,Yugoslavia,Win,UEFA,UEFA
2018,Japan,Belgium,Loss,AFC,UEFA
2010,Ivory Coast,North Korea,Win,CAF,AFC
1986,France,Belgium,Win,UEFA,UEFA
2006,Switzerland,Togo,Win,UEFA,CAF
1998,Argentina,Netherlands,Loss,CONMEBOL,UEFA
1986,France,Canada,Win,UEFA,CONCACAF
1990,Costa Rica,Brazil,Loss,CONCACAF,CONMEBOL
2014,Belgium,South Korea,Win,UEFA,AFC
2018,Croatia,Russia,Win,UEFA,UEFA
1982,Yugoslavia,Honduras,Win,UEFA,CONCACAF
1962,Italy,Chile,Loss,UEFA,CONMEBOL
1978,Spain,Austria,Loss,UEFA,UEFA
2006,Trinidad and Tobago,Paraguay,Loss,CONCACAF,CONMEBOL
1974,Chile,Australia,Draw,CONMEBOL,AFC
2006,Netherlands,Serbia and Montenegro,Win,UEFA,UEFA
1986,Mexico,Iraq,Win,CONCACAF,AFC
2014,Honduras,France,Loss,CONCACAF,UEFA
1986,West Germany,Denmark,Loss,UEFA,UEFA
2018,Mexico,South Korea,Win,CONCACAF,AFC
2018,England,Croatia,Loss,UEFA,UEFA
1994,Russia,Brazil,Loss,UEFA,CONMEBOL
1982,England,West Germany,Draw,UEFA,UEFA
1982,England,Spain,Draw,UEFA,UEFA
2002,Russia,Japan,Loss,UEFA,AFC
1994,Mexico,Norway,Loss,CONCACAF,UEFA
1990,England,West Germany,Loss,UEFA,UEFA
1962,Argentina,Hungary,Draw,CONMEBOL,UEFA
1958,England,Brazil,Draw,UEFA,CONMEBOL
2010,South Korea,Nigeria,Draw,AFC,CAF
1934,Hungary,Austria,Loss,UEFA,UEFA
2022,Iran,England,Loss,AFC,UEFA
1966,Uruguay,England,Draw,CONMEBOL,UEFA
1978,Italy,Brazil,Loss,UEFA,CONMEBOL
2018,Senegal,Japan,Draw,CAF,AFC
1982,El Salvador,Argentina,Loss,CONCACAF,CONMEBOL
1986,Mexico,Belgium,Win,CONCACAF,UEFA
1982,Northern Ireland,Spain,Win,UEFA,UEFA
2018,Tunisia,Panama,Win,CAF,CONCACAF
1974,Zaire,Yugoslavia,Loss,CAF,UEFA
1986,West Germany,Argentina,Loss,UEFA,CONMEBOL
1986,Morocco,Portugal,Win,CAF,UEFA
1966,North Korea,Soviet Union,Loss,AFC,UEFA
2006,Ghana,Czech Republic,Win,CAF,UEFA
1966,Switzerland,West Germany,Loss,UEFA,UEFA
2006,Portugal,Angola,Win,UEFA,CAF
2018,Spain,Iran,Win,UEFA,AFC
2002,Mexico,Croatia,Win,CONCACAF,UEFA
1970,Morocco,Bulgaria,Draw,CAF,UEFA
2006,United States,Italy,Draw,CONCACAF,UEFA
1982,Brazil,Argentina,Win,CONMEBOL,CONMEBOL
2022,Argentina,Poland,Win,CONMEBOL,UEFA
2010,Chile,Honduras,Win,CONMEBOL,CONCACAF
1998,Croatia,Germany,Win,UEFA,UEFA
2010,South Africa,France,Win,CAF,UEFA
1990,Italy,Argentina,Loss,UEFA,CONMEBOL
1982,El Salvador,Hungary,Loss,CONCACAF,UEFA
2002,South Africa,Paraguay,Draw,CAF,CONMEBOL
2006,Croatia,Brazil,Loss,UEFA,CONMEBOL
2014,Nigeria,France,Loss,CAF,UEFA
1986,Iraq,Paraguay,Loss,AFC,CONMEBOL
2022,Spain,Morocco,Loss,UEFA,CAF
1998,Chile,Italy,Draw,CONMEBOL,UEFA
1970,Czechoslovakia,Brazil,Loss,UEFA,CONMEBOL
1954,Turkey,West Germany,Loss,UEFA,UEFA
2010,Mexico,Argentina,Loss,CONCACAF,CONMEBOL
2018,Morocco,Portugal,Loss,CAF,UEFA
2014,England,Uruguay,Loss,UEFA,CONMEBOL
1954,Scotland,Uruguay,Loss,UEFA,CONMEBOL
1958,France,Brazil,Loss,UEFA,CONMEBOL
1958,Northern Ireland,Argentina,Loss,UEFA,CONMEBOL
1978,Iran,Scotland,Draw,AFC,UEFA
1986,England,Portugal,Loss,UEFA,UEFA
1962,Spain,Brazil,Loss,UEFA,CONMEBOL
1954,Yugoslavia,West Germany,Loss,UEFA,UEFA
1998,Morocco,Brazil,Loss,CAF,CONMEBOL
1994,Norway,Republic of Ireland,Draw,UEFA,UEFA
1998,Tunisia,England,Loss,CAF,UEFA
1998,Yugoslavia,Netherlands,Loss,UEFA,UEFA
2006,Portugal,England,Win,UEFA,UEFA
2018,Switzerland,Brazil,Draw,UEFA,CONMEBOL
1990,Soviet Union,Argentina,Loss,UEFA,CONMEBOL
2006,South Korea,France,Draw,AFC,UEFA
2018,Sweden,Germany,Loss,UEFA,UEFA
1974,Poland,Sweden,Win,UEFA,UEFA
2010,Spain,Chile,Win,UEFA,CONMEBOL
1978,Tunisia,West Germany,Draw,CAF,UEFA
2002,Saudi Arabia,Germany,Loss,AFC,UEFA
1950,Spain,Sweden,Loss,UEFA,UEFA
1990,West Germany,Czechoslovakia,Win,UEFA,UEFA
1974,Brazil,Argentina,Win,CONMEBOL,CONMEBOL
2006,France,Spain,Win,UEFA,UEFA
1998,Bulgaria,Paraguay,Draw,UEFA,CONMEBOL
1958,Yugoslavia,West Germany,Loss,UEFA,UEFA
1994,Bolivia,Germany,Loss,CONMEBOL,UEFA
1986,Uruguay,Denmark,Loss,CONMEBOL,UEFA
2002,Costa Rica,China,Win,CONCACAF,AFC
1990,Colombia,Cameroon,Loss,CONMEBOL,CAF
2002,France,Denmark,Loss,UEFA,UEFA
2014,United States,Ghana,Win,CONCACAF,CAF
1990,Uruguay,Italy,Loss,CONMEBOL,UEFA
1978,Hungary,Argentina,Loss,UEFA,CONMEBOL
2014,Spain,Australia,Win,UEFA,AFC
2006,Saudi Arabia,Tunisia,Draw,AFC,CAF
1986,Bulgaria,South Korea,Draw,UEFA,AFC
2006,Portugal,Germany,Loss,UEFA,UEFA
2006,Australia,Brazil,Loss,AFC,CONMEBOL
1990,Colombia,United Arab Emirates,Win,CONMEBOL,AFC
1978,Sweden,Brazil,Draw,UEFA,CONMEBOL
1962,Czechoslovakia,Mexico,Loss,UEFA,CONCACAF
1962,Chile,West Germany,Loss,CONMEBOL,UEFA
1974,Bulgaria,Sweden,Draw,UEFA,UEFA
2002,England,Argentina,Win,UEFA,CONMEBOL
2014,Chile,Brazil,Loss,CONMEBOL,CONMEBOL
2002,South Korea,Portugal,Win,AFC,UEFA
1986,Portugal,Poland,Loss,UEFA,UEFA
1998,Mexico,Netherlands,Draw,CONCACAF,UEFA
2006,South Korea,Switzerland,Loss,AFC,UEFA
2010,Ivory Coast,Brazil,Loss,CAF,CONMEBOL
1998,England,Argentina,Loss,UEFA,CONMEBOL
1962,Bulgaria,Argentina,Loss,UEFA,CONMEBOL
1990,Scotland,Costa Rica,Loss,UEFA,CONCACAF
1994,Cameroon,Brazil,Loss,CAF,CONMEBOL
1990,Argentina,West Germany,Loss,CONMEBOL,UEFA
1950,Paraguay,Sweden,Draw,CONMEBOL,UEFA
1962,Mexico,Spain,Loss,CONCACAF,UEFA
1970,Soviet Union,Mexico,Draw,UEFA,CONCACAF
2014,Costa Rica,Italy,Win,CONCACAF,UEFA
1930,Brazil,Yugoslavia,Loss,CONMEBOL,UEFA
1938,Romania,Cuba,Loss,UEFA,CONCACAF
1990,Republic of Ireland,England,Draw,UEFA,UEFA
1982,Northern Ireland,France,Loss,UEFA,UEFA
1970,England,Brazil,Loss,UEFA,CONMEBOL
1982,New Zealand,Brazil,Loss,OFC,CONMEBOL
1986,Belgium,Paraguay,Draw,UEFA,CONMEBOL
2010,Spain,Germany,Win,UEFA,UEFA
1978,Netherlands,Italy,Win,UEFA,UEFA
2010,Portugal,Spain,Loss,UEFA,UEFA
1994,Spain,Germany,Draw,UEFA,UEFA
2022,Qatar,Netherlands,Loss,AFC,UEFA
1938,France,Italy,Loss,UEFA,UEFA
1998,Yugoslavia,Germany,Draw,UEFA,UEFA
1982,Northern Ireland,Honduras,Draw,UEFA,CONCACAF
1958,Czechoslovakia,West Germany,Draw,UEFA,UEFA
2006,Angola,Iran,Draw,CAF,AFC
2006,Sweden,Germany,Loss,UEFA,UEFA
1958,Scotland,France,Loss,UEFA,UEFA
2014,Greece,Costa Rica,Loss,UEFA,CONCACAF
1978,Tunisia,Poland,Loss,CAF,UEFA
1970,El Salvador,Soviet Union,Loss,CONCACAF,UEFA
1930,Yugoslavia,Uruguay,Loss,UEFA,CONMEBOL
1982,Czechoslovakia,England,Loss,UEFA,UEFA
2022,Iran,Wales,Win,AFC,UEFA
1998,Tunisia,Colombia,Loss,CAF,CONMEBOL
2010,Germany,Argentina,Win,UEFA,CONMEBOL
1998,Bulgaria,Nigeria,Loss,UEFA,CAF
1978,Hungary,Italy,Loss,UEFA,UEFA
1990,United States,Italy,Loss,CONCACAF,UEFA
1934,Brazil,Spain,Loss,CONMEBOL,UEFA
2002,China,Brazil,Loss,AFC,CONMEBOL
2006,France,Brazil,Win,UEFA,CONMEBOL
2014,Ivory Coast,Greece,Loss,CAF,UEFA
1966,North Korea,Chile,Draw,AFC,CONMEBOL
2006,Ukraine,Saudi Arabia,Win,UEFA,AFC
1994,Saudi Arabia,Belgium,Win,AFC,UEFA
1986,France,Italy,Win,UEFA,UEFA
1994,Switzerland,United States,Draw,UEFA,CONCACAF
1994,Saudi Arabia,Netherlands,Loss,AFC,UEFA
1978,Iran,Peru,Loss,AFC,CONMEBOL
2002,Ecuador,Italy,Loss,CONMEBOL,UEFA
1990,Romania,Republic of Ireland,Loss,UEFA,UEFA
1990,Czechoslovakia,Austria,Win,UEFA,UEFA
2018,France,Uruguay,Win,UEFA,CONMEBOL
2022,Denmark,France,Loss,UEFA,UEFA
2014,Australia,Chile,Loss,AFC,CONMEBOL
1998,Yugoslavia,United States,Win,UEFA,CONCACAF
1978,West Germany,Italy,Draw,UEFA,UEFA
2002,Brazil,Germany,Win,CONMEBOL,UEFA
1994,Sweden,Cameroon,Draw,UEFA,CAF
2018,Panama,Belgium,Loss,CONCACAF,UEFA
1998,Denmark,South Africa,Draw,UEFA,CAF
1978,Sweden,Spain,Loss,UEFA,UEFA
2010,Uruguay,Mexico,Win,CONMEBOL,CONCACAF
1982,Peru,Italy,Draw,CONMEBOL,UEFA
2010,Mexico,South Africa,Draw,CONCACAF,CAF
1930,Paraguay,United States,Loss,CONMEBOL,CONCACAF
1950,Mexico,Brazil,Loss,CONCACAF,CONMEBOL
1998,Saudi Arabia,France,Loss,AFC,UEFA
1982,Scotland,Soviet Union,Draw,UEFA,UEFA
2006,France,Portugal,Win,UEFA,UEFA
1966,Brazil,Portugal,Loss,CONMEBOL,UEFA
1958,Hungary,Sweden,Loss,UEFA,UEFA
1978,Peru,Netherlands,Draw,CONMEBOL,UEFA
1994,Nigeria,Greece,Win,CAF,UEFA
1962,Bulgaria,Hungary,Loss,UEFA,UEFA
2014,Mexico,Netherlands,Loss,CONCACAF,UEFA
1990,Egypt,Republic of Ireland,Draw,CAF,UEFA
1954,Scotland,Austria,Loss,UEFA,UEFA
1978,Poland,Argentina,Loss,UEFA,CONMEBOL
1978,Netherlands,Scotland,Loss,UEFA,UEFA
1966,Chile,Italy,Loss,CONMEBOL,UEFA
1978,Netherlands,Argentina,Loss,UEFA,CONMEBOL
2022,Ecuador,Netherlands,Draw,CONMEBOL,UEFA
2006,Czech Republic,United States,Win,UEFA,CONCACAF
2022,England,Wales,Win,UEFA,UEFA
1986,West Germany,Uruguay,Draw,UEFA,CONMEBOL
1990,Scotland,Sweden,Win,UEFA,UEFA
2014,Croatia,Brazil,Loss,UEFA,CONMEBOL
2002,Senegal,France,Win,CAF,UEFA
1994,Nigeria,Argentina,Loss,CAF,CONMEBOL
1958,Wales,Brazil,Loss,UEFA,CONMEBOL
2002,China,Turkey,Loss,AFC,UEFA
1974,East Germany,Brazil,Loss,UEFA,CONMEBOL
1982,Brazil,Italy,Loss,CONMEBOL,UEFA
1982,Hungary,Argentina,Loss,UEFA,CONMEBOL
1974,Uruguay,Sweden,Loss,CONMEBOL,UEFA
2010,Ghana,Uruguay,Loss,CAF,CONMEBOL
1974,Argentina,Poland,Loss,CONMEBOL,UEFA
1978,Poland,Peru,Win,UEFA,CONMEBOL
1990,Scotland,Brazil,Loss,UEFA,CONMEBOL
2022,Ghana,South Korea,Win,CAF,AFC
1938,Switzerland,Hungary,Loss,UEFA,UEFA
