year,team,opponent_team,result,team_conf,opponent_conf
1970,Italy,West Germany,Win,UEFA,UEFA
2014,Brazil,Germany,Loss,CONMEBOL,UEFA
2010,Cameroon,Denmark,Loss,CAF,UEFA
1974,Scotland,Brazil,Draw,UEFA,CONMEBOL
1974,East Germany,Netherlands,Loss,UEFA,UEFA
1962,Italy,Switzerland,Win,UEFA,UEFA
2002,Italy,Mexico,Draw,UEFA,CONCACAF
1958,Sweden,Brazil,Loss,UEFA,CONMEBOL
2022,Switzerland,Portugal,Loss,UEFA,UEFA
1950,Brazil,Uruguay,Loss,CONMEBOL,CONMEBOL
1938,Netherlands,Czechoslovakia,Loss,UEFA,UEFA
2022,Argentina,Netherlands,Win,CONMEBOL,UEFA
1998,Croatia,Argentina,Loss,UEFA,CONMEBOL
2022,Tunisia,Denmark,Draw,CAF,UEFA
1998,Bulgaria,Spain,Loss,UEFA,UEFA
2018,Saudi Arabia,Russia,Loss,AFC,UEFA
2006,Ecuador,England,Loss,CONMEBOL,UEFA
1982,New Zealand,Scotland,Loss,OFC,UEFA
1958,Wales,Hungary,Draw,UEFA,UEFA
1954,England,Uruguay,Loss,UEFA,CONMEBOL
2006,Trinidad and Tobago,England,Loss,CONCACAF,UEFA
1990,Belgium,England,Loss,UEFA,UEFA
1978,West Germany,Netherlands,Draw,UEFA,UEFA
2002,Turkey,Brazil,Loss,UEFA,CONMEBOL
1990,United Arab Emirates,Yugoslavia,Loss,AFC,UEFA
1934,Germany,Czechoslovakia,Loss,UEFA,UEFA
1954,Belgium,England,Draw,UEFA,UEFA
1970,Peru,West Germany,Loss,CONMEBOL,UEFA
2018,England,Sweden,Win,UEFA,UEFA
2022,Morocco,France,Loss,CAF,UEFA
1962,England,Brazil,Loss,UEFA,CONMEBOL
1930,Chile,Argentina,Loss,CONMEBOL,CONMEBOL
1982,Chile,Algeria,Loss,CONMEBOL,CAF
2022,South Korea,Uruguay,Draw,AFC,CONMEBOL
1986,Northern Ireland,Algeria,Draw,UEFA,CAF
1990,Cameroon,Argentina,Win,CAF,CONMEBOL
1982,France,England,Loss,UEFA,UEFA
1962,Uruguay,Yugoslavia,Loss,CONMEBOL,UEFA
1986,Belgium,Iraq,Win,UEFA,AFC
1938,Poland,Brazil,Loss,UEFA,CONMEBOL
2006,Brazil,Japan,Win,CONMEBOL,AFC
1990,Soviet Union,Cameroon,Win,UEFA,CAF
1982,Poland,Italy,Draw,UEFA,UEFA
1986,Hungary,Soviet Union,Loss,UEFA,UEFA
1958,Scotland,Paraguay,Loss,UEFA,CONMEBOL
1994,Italy,Nigeria,Win,UEFA,CAF
1998,Paraguay,Nigeria,Win,CONMEBOL,CAF
1954,Switzerland,England,Loss,UEFA,UEFA
2010,Paraguay,Slovakia,Win,CONMEBOL,UEFA
1966,Switzerland,Spain,Loss,UEFA,UEFA
1974,Yugoslavia,Sweden,Loss,UEFA,UEFA
1986,Poland,Morocco,Draw,UEFA,CAF
2014,Japan,Ivory Coast,Loss,AFC,CAF
2022,Portugal,Morocco,Loss,UEFA,CAF
1990,Netherlands,England,Draw,UEFA,UEFA
2018,Sweden,Mexico,Win,UEFA,CONCACAF
2014,Argentina,Germany,Loss,CONMEBOL,UEFA
1938,Czechoslovakia,Brazil,Loss,UEFA,CONMEBOL
2018,Iceland,Nigeria,Loss,UEFA,CAF
1958,Czechoslovakia,Northern Ireland,Loss,UEFA,UEFA
1998,Scotland,Brazil,Loss,UEFA,CONMEBOL
1970,Israel,Sweden,Draw,UEFA,UEFA
2018,Nigeria,Croatia,Loss,CAF,UEFA
1970,Romania,England,Loss,UEFA,UEFA
2014,Uruguay,Italy,Win,CONMEBOL,UEFA
1958,Yugoslavia,Paraguay,Draw,UEFA,CONMEBOL
1986,Soviet Union,France,Draw,UEFA,UEFA
1970,Belgium,Mexico,Loss,UEFA,CONCACAF
1998,Denmark,Saudi Arabia,Win,UEFA,AFC
1994,Switzerland,Romania,Win,UEFA,UEFA
1934,France,Austria,Loss,UEFA,UEFA
2022,Japan,Germany,Win,AFC,UEFA
1950,Chile,Spain,Loss,CONMEBOL,UEFA
